date,actual_avg_price_inr_per_kg,predicted_avg_price_inr_per_kg,model_run_date,horizon_days,model_version
2014-11-07,765.73,,,,
2015-01-14,861.93,,,,
2015-05-01,699.9949999999999,,,,
2015-05-02,675.715,,,,
2015-05-04,672.585,,,,
2015-05-05,684.88,,,,
2015-05-06,683.135,,,,
2015-05-07,671.54,,,,
2015-05-08,672.5799999999999,,,,
2015-05-09,658.0250000000001,,,,
2015-05-11,654.34,,,,
2015-05-12,682.19,,,,
2015-05-13,659.095,,,,
2015-05-14,642.0799999999999,,,,
2015-05-15,638.115,,,,
2015-05-16,606.475,,,,
2015-05-18,627.98,,,,
2015-05-19,650.6949999999999,,,,
2015-05-20,652.47,,,,
2015-05-21,662.36,,,,
2015-05-22,637.79,,,,
2015-05-23,625.825,,,,
2015-05-25,664.29,,,,
2015-05-26,685.855,,,,
2015-05-27,700.9,,,,
2015-05-28,675.325,,,,
2015-05-29,661.845,,,,
2015-05-30,653.015,,,,
2015-06-01,663.35,,,,
2015-06-02,671.3399999999999,,,,
2015-06-03,649.0699999999999,,,,
2015-06-04,637.9449999999999,,,,
2015-06-05,628.96,,,,
2015-06-06,619.56,,,,
2015-06-08,641.425,,,,
2015-06-09,670.875,,,,
2015-06-10,665.6600000000001,,,,
2015-06-11,664.34,,,,
2015-06-12,663.0999999999999,,,,
2015-06-13,656.085,,,,
2015-06-15,649.52,,,,
2015-06-16,655.44,,,,
2015-06-17,658.69,,,,
2015-06-18,631.12,,,,
2015-06-19,637.135,,,,
2015-06-20,635.075,,,,
2015-06-22,644.855,,,,
2015-06-23,680.585,,,,
2015-06-24,684.39,,,,
2015-06-25,685.3050000000001,,,,
2015-06-26,697.5550000000001,,,,
2015-06-27,698.7049999999999,,,,
2015-06-29,691.0350000000001,,,,
2015-06-30,688.065,,,,
2015-07-01,674.375,,,,
2015-07-02,661.165,,,,
2015-07-03,657.3199999999999,,,,
2015-07-04,647.635,,,,
2015-07-06,641.265,,,,
2015-07-07,639.925,,,,
2015-07-08,654.165,,,,
2015-07-09,648.0899999999999,,,,
2015-07-10,636.5350000000001,,,,
2015-07-11,626.635,,,,
2015-07-13,639.5799999999999,,,,
2015-07-14,644.44,,,,
2015-07-15,656.795,,,,
2015-07-16,639.32,,,,
2015-07-17,659.99,,,,
2015-07-20,624.4100000000001,,,,
2015-07-21,628.23,,,,
2015-07-22,626.9200000000001,,,,
2015-07-23,627.6,,,,
2015-07-24,630.825,,,,
2015-07-25,626.165,,,,
2015-07-27,628.1,,,,
2015-07-28,631.195,,,,
2015-07-29,618.865,,,,
2015-07-30,623.08,,,,
2015-07-31,622.9300000000001,,,,
2015-08-01,607.7049999999999,,,,
2015-08-03,634.46,,,,
2015-08-04,637.11,,,,
2015-08-05,639.185,,,,
2015-08-06,642.69,,,,
2015-08-07,638.0450000000001,,,,
2015-08-08,634.975,,,,
2015-08-10,636.7,,,,
2015-08-11,652.4849999999999,,,,
2015-08-12,651.285,,,,
2015-08-13,644.51,,,,
2015-08-14,642.705,,,,
2015-08-17,615.39,,,,
2015-08-18,635.1949999999999,,,,
2015-08-19,629.02,,,,
2015-08-20,615.095,,,,
2015-08-21,611.735,,,,
2015-08-22,608.095,,,,
2015-08-24,620.585,,,,
2015-08-25,633.405,,,,
2015-08-26,648.87,,,,
2015-08-29,656.63,,,,
2015-08-31,650.28,,,,
2015-10-01,652.525,,,,
2015-10-03,634.5699999999999,,,,
2015-10-05,623.525,,,,
2015-10-06,648.1500000000001,,,,
2015-10-07,628.2850000000001,,,,
2015-10-08,629.645,,,,
2015-10-09,617.5799999999999,,,,
2015-10-10,618.2650000000001,,,,
2015-10-12,621.335,,,,
2015-10-13,632.6949999999999,,,,
2015-10-14,609.37,,,,
2015-10-15,618.83,,,,
2015-10-16,616.5899999999999,,,,
2015-10-17,594.665,,,,
2015-10-19,600.54,,,,
2015-10-20,600.645,,,,
2015-10-22,623.8,,,,
2015-10-23,623.715,,,,
2015-10-24,587.05,,,,
2015-10-26,595.71,,,,
2015-10-27,599.985,,,,
2015-10-28,589.11,,,,
2015-10-29,611.51,,,,
2015-10-30,589.435,,,,
2015-10-31,591.79,,,,
2015-11-02,596.72,,,,
2015-11-03,623.4000000000001,,,,
2015-11-04,618.7850000000001,,,,
2015-11-05,608.81,,,,
2015-11-06,596.65,,,,
2015-11-07,615.06,,,,
2015-11-11,649.42,,,,
2015-11-12,614.45,,,,
2015-11-13,636.49,,,,
2015-11-14,614.6999999999999,,,,
2015-11-16,572.92,,,,
2015-11-18,582.9849999999999,,,,
2015-11-19,585.28,,,,
2015-11-20,583.495,,,,
2015-11-21,588.015,,,,
2015-11-23,602.99,,,,
2015-11-24,625.345,,,,
2015-11-25,613.11,,,,
2015-11-26,630.48,,,,
2015-11-27,615.66,,,,
2015-11-28,612.655,,,,
2015-11-30,610.245,,,,
2015-12-01,614.48,,,,
2015-12-02,608.605,,,,
2015-12-03,603.6400000000001,,,,
2015-12-04,584.85,,,,
2015-12-05,627.2049999999999,,,,
2015-12-07,597.1700000000001,,,,
2015-12-08,604.035,,,,
2015-12-09,597.5799999999999,,,,
2015-12-10,599.825,,,,
2015-12-11,573.24,,,,
2015-12-12,614.125,,,,
2015-12-14,569.74,,,,
2015-12-15,594.885,,,,
2015-12-16,583.7,,,,
2015-12-17,600.04,,,,
2015-12-18,584.74,,,,
2015-12-19,586.8299999999999,,,,
2015-12-21,573.11,,,,
2015-12-22,581.27,,,,
2015-12-23,570.425,,,,
2015-12-24,585.685,,,,
2015-12-26,577.89,,,,
2015-12-28,573.125,,,,
2015-12-29,576.105,,,,
2015-12-30,585.4,,,,
2015-12-31,601.5799999999999,,,,
2016-01-01,588.84,,,,
2016-01-02,596.7049999999999,,,,
2016-01-04,593.7449999999999,,,,
2016-01-05,604.2850000000001,,,,
2016-01-06,612.595,,,,
2016-01-07,614.28,,,,
2016-01-08,605.7249999999999,,,,
2016-01-09,597.345,,,,
2016-01-11,581.5350000000001,,,,
2016-01-12,599.775,,,,
2016-01-13,585.02,,,,
2016-01-14,595.435,,,,
2016-01-18,566.3299999999999,,,,
2016-01-19,580.335,,,,
2016-01-20,565.51,,,,
2016-01-21,584.405,,,,
2016-01-22,553.49,,,,
2016-01-23,552.31,,,,
2016-01-25,577.51,,,,
2016-01-27,568.9300000000001,,,,
2016-01-28,582.92,,,,
2016-01-29,562.65,,,,
2016-01-30,575.005,,,,
2016-02-01,562.215,,,,
2016-02-02,555.4,,,,
2016-02-03,534.595,,,,
2016-02-04,552.04,,,,
2016-02-05,530.9649999999999,,,,
2016-02-06,540.13,,,,
2016-02-08,546.5,,,,
2016-02-09,558.585,,,,
2016-02-10,544.6800000000001,,,,
2016-02-11,583.0699999999999,,,,
2016-02-12,540.5450000000001,,,,
2016-02-13,556.475,,,,
2016-02-15,558.965,,,,
2016-02-16,576.835,,,,
2016-02-17,570.755,,,,
2016-02-18,567.565,,,,
2016-02-19,538.615,,,,
2016-02-20,577.105,,,,
2016-02-22,538.5,,,,
2016-02-23,550.9649999999999,,,,
2016-02-24,551.95,,,,
2016-02-25,559.355,,,,
2016-02-26,537.8050000000001,,,,
2016-02-27,567.88,,,,
2016-02-29,540.595,,,,
2016-03-01,561.05,,,,
2016-03-02,555.3399999999999,,,,
2016-03-03,556.56,,,,
2016-03-04,526.6600000000001,,,,
2016-03-05,553.245,,,,
2016-03-07,528.295,,,,
2016-03-08,544.385,,,,
2016-03-09,533.915,,,,
2016-03-10,532.0550000000001,,,,
2016-03-11,494.72,,,,
2016-03-12,534.9100000000001,,,,
2016-03-14,529.315,,,,
2016-03-15,528.765,,,,
2016-03-16,529.565,,,,
2016-03-17,528.24,,,,
2016-03-18,511.245,,,,
2016-03-19,521.99,,,,
2016-03-21,505.015,,,,
2016-03-22,533.06,,,,
2016-03-23,534.74,,,,
2016-03-24,540.11,,,,
2016-03-28,552.69,,,,
2016-03-29,560.16,,,,
2016-03-31,559.5,,,,
2016-04-01,558.22,,,,
2016-04-02,611.385,,,,
2016-04-04,648.8,,,,
2016-04-05,634.925,,,,
2016-04-06,628.7950000000001,,,,
2016-04-07,606.905,,,,
2016-04-08,589.515,,,,
2016-04-09,606.925,,,,
2016-04-11,613.05,,,,
2016-04-12,607.95,,,,
2016-04-13,631.88,,,,
2016-04-15,653.27,,,,
2016-04-16,667.38,,,,
2016-04-18,677.44,,,,
2016-04-19,661.4749999999999,,,,
2016-04-20,646.5450000000001,,,,
2016-04-21,651.765,,,,
2016-04-22,635.13,,,,
2016-04-23,654.6600000000001,,,,
2016-04-25,681.12,,,,
2016-04-26,661.5699999999999,,,,
2016-04-27,673.135,,,,
2016-04-28,671.47,,,,
2016-04-29,665.335,,,,
2016-04-30,731.375,,,,
2016-05-02,699.605,,,,
2016-05-03,711.485,,,,
2016-05-04,731.745,,,,
2016-05-05,727.9849999999999,,,,
