Country or Area,Element,Year,Unit,Value,Value Footnotes
Africa,Gross Production Index Number (2014-2016 = 100),2021.0,Index,97.97,
Africa,Gross Production Index Number (2014-2016 = 100),2020.0,Index,98.43,
Africa,Gross Production Index Number (2014-2016 = 100),2019.0,Index,99.01,
Africa,Gross Production Index Number (2014-2016 = 100),2018.0,Index,99.98,
Africa,Gross Production Index Number (2014-2016 = 100),2017.0,Index,102.91,
Africa,Gross Production Index Number (2014-2016 = 100),2016.0,Index,101.74,
Africa,Gross Production Index Number (2014-2016 = 100),2015.0,Index,99.78,
Africa,Gross Production Index Number (2014-2016 = 100),2014.0,Index,98.48,
Africa,Gross Production Index Number (2014-2016 = 100),2013.0,Index,96.7,
Africa,Gross Production Index Number (2014-2016 = 100),2012.0,Index,94.2,
Africa,Gross Production Index Number (2014-2016 = 100),2011.0,Index,104.09,
Africa,Gross Production Index Number (2014-2016 = 100),2010.0,Index,113.34,
Africa,Gross Production Index Number (2014-2016 = 100),2009.0,Index,119.45,
Africa,Gross Production Index Number (2014-2016 = 100),2008.0,Index,132.49,
Africa,Gross Production Index Number (2014-2016 = 100),2007.0,Index,128.19,
Africa,Gross Production Index Number (2014-2016 = 100),2006.0,Index,120.83,
Africa,Gross Production Index Number (2014-2016 = 100),2005.0,Index,118.05,
Africa,Gross Production Index Number (2014-2016 = 100),2004.0,Index,114.21,
Africa,Gross Production Index Number (2014-2016 = 100),2003.0,Index,109.94,
Africa,Gross Production Index Number (2014-2016 = 100),2002.0,Index,107.35,
Africa,Gross Production Index Number (2014-2016 = 100),2001.0,Index,104.97,
Africa,Gross Production Index Number (2014-2016 = 100),2000.0,Index,104.84,
Africa,Gross Production Index Number (2014-2016 = 100),1999.0,Index,100.36,
Africa,Gross Production Index Number (2014-2016 = 100),1998.0,Index,96.08,
Africa,Gross Production Index Number (2014-2016 = 100),1997.0,Index,91.67,
Africa,Gross Production Index Number (2014-2016 = 100),1996.0,Index,92.61,
Africa,Gross Production Index Number (2014-2016 = 100),1995.0,Index,91.39,
Africa,Gross Production Index Number (2014-2016 = 100),1994.0,Index,90.8,
Africa,Gross Production Index Number (2014-2016 = 100),1993.0,Index,89.72,
Africa,Gross Production Index Number (2014-2016 = 100),1992.0,Index,89.01,
Africa,Gross Production Index Number (2014-2016 = 100),1991.0,Index,89.75,
Africa,Gross Production Index Number (2014-2016 = 100),1990.0,Index,95.67,
Africa,Gross Production Index Number (2014-2016 = 100),1989.0,Index,71.1,
Africa,Gross Production Index Number (2014-2016 = 100),1988.0,Index,61.2,
Africa,Gross Production Index Number (2014-2016 = 100),1987.0,Index,83.7,
Africa,Gross Production Index Number (2014-2016 = 100),1986.0,Index,45.9,
Africa,Gross Production Index Number (2014-2016 = 100),1985.0,Index,45.9,
Africa,Gross Production Index Number (2014-2016 = 100),1984.0,Index,54.9,
Africa,Gross Production Index Number (2014-2016 = 100),1983.0,Index,54.9,
Africa,Gross Production Index Number (2014-2016 = 100),1982.0,Index,86.4,
Africa,Gross Production Index Number (2014-2016 = 100),1981.0,Index,77.4,
Africa,Gross Production Index Number (2014-2016 = 100),1980.0,Index,54.9,
Africa,Gross Production Index Number (2014-2016 = 100),1979.0,Index,73.8,
Africa,Gross Production Index Number (2014-2016 = 100),1978.0,Index,45.9,
Africa,Gross Production Index Number (2014-2016 = 100),1977.0,Index,45.0,
Africa,Gross Production Index Number (2014-2016 = 100),1976.0,Index,54.9,
Africa,Gross Production Index Number (2014-2016 = 100),1975.0,Index,90.9,
Africa,Gross Production Index Number (2014-2016 = 100),1974.0,Index,73.8,
Africa,Gross Production Index Number (2014-2016 = 100),1973.0,Index,66.6,
Africa,Gross Production Index Number (2014-2016 = 100),1972.0,Index,14.49,
Africa,Gross Production Index Number (2014-2016 = 100),1971.0,Index,18.09,
Africa,Gross Production Index Number (2014-2016 = 100),1970.0,Index,19.35,
Africa,Gross Production Index Number (2014-2016 = 100),1969.0,Index,23.13,
Africa,Gross Production Index Number (2014-2016 = 100),1968.0,Index,20.52,
Africa,Gross Production Index Number (2014-2016 = 100),1967.0,Index,18.0,
Africa,Gross Production Index Number (2014-2016 = 100),1966.0,Index,18.0,
Africa,Gross Production Index Number (2014-2016 = 100),1965.0,Index,18.0,
Africa,Gross Production Index Number (2014-2016 = 100),1964.0,Index,18.0,
Africa,Gross Production Index Number (2014-2016 = 100),1963.0,Index,18.0,
Africa,Gross Production Index Number (2014-2016 = 100),1962.0,Index,18.0,
Africa,Gross Production Index Number (2014-2016 = 100),1961.0,Index,18.0,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2021.0,Index,84.42,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2020.0,Index,86.88,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2019.0,Index,89.56,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2018.0,Index,92.7,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2017.0,Index,97.83,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2016.0,Index,99.17,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2015.0,Index,99.77,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2014.0,Index,101.06,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2013.0,Index,101.86,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2012.0,Index,101.85,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2011.0,Index,115.46,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2010.0,Index,128.99,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2009.0,Index,139.53,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2008.0,Index,158.81,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2007.0,Index,157.66,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2006.0,Index,152.47,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2005.0,Index,152.79,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2004.0,Index,151.6,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2003.0,Index,149.64,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2002.0,Index,149.8,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2001.0,Index,150.17,
Africa,Gross per capita Production Index Number (2014-2016 = 100),2000.0,Index,153.75,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1999.0,Index,150.84,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1998.0,Index,147.95,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1997.0,Index,144.63,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1996.0,Index,149.74,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1995.0,Index,151.53,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1994.0,Index,154.35,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1993.0,Index,156.36,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1992.0,Index,159.08,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1991.0,Index,164.55,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1990.0,Index,180.05,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1989.0,Index,137.47,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1988.0,Index,121.59,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1987.0,Index,170.93,
