date,cardamom_price,cardamom_cultivation,cardamom_farming,elaichi_price,cardamom_plantation
2014-01-01,13,0,0,0,0
2014-02-01,18,0,0,5,5
2014-03-01,15,0,0,0,0
2014-04-01,14,2,0,5,0
2014-05-01,13,0,0,8,0
2014-06-01,10,0,0,8,0
2014-07-01,9,0,0,0,0
2014-08-01,15,2,0,5,0
2014-09-01,16,2,0,5,0
2014-10-01,15,2,0,8,0
2014-11-01,16,2,0,9,0
2014-12-01,17,0,0,8,0
2015-01-01,20,0,0,12,0
2015-02-01,20,0,0,5,6
2015-03-01,16,0,0,9,0
2015-04-01,12,2,0,6,0
2015-05-01,11,0,0,0,0
2015-06-01,14,2,0,0,0
2015-07-01,11,0,0,5,0
2015-08-01,15,1,0,5,0
2015-09-01,19,1,0,7,0
2015-10-01,14,0,0,9,0
2015-11-01,16,0,0,9,0
2015-12-01,15,0,0,15,4
2016-01-01,18,2,0,7,5
2016-02-01,17,2,0,8,4
2016-03-01,14,1,0,8,0
2016-04-01,19,0,0,7,5
2016-05-01,17,1,0,7,0
2016-06-01,16,1,0,7,5
2016-07-01,14,0,0,7,4
2016-08-01,20,1,0,9,0
2016-09-01,22,0,0,11,0
2016-10-01,23,1,0,10,5
2016-11-01,26,0,2,8,0
2016-12-01,22,0,1,8,5
2017-01-01,27,0,0,9,0
2017-02-01,24,0,0,13,6
2017-03-01,22,0,1,11,3
2017-04-01,19,1,0,10,0
2017-05-01,20,0,0,8,4
2017-06-01,15,0,0,10,5
2017-07-01,17,2,0,11,4
2017-08-01,23,0,0,13,4
2017-09-01,32,0,0,15,4
2017-10-01,36,1,0,11,4
2017-11-01,50,1,0,16,5
2017-12-01,50,0,0,17,3
2018-01-01,40,1,0,15,3
2018-02-01,36,1,0,16,4
2018-03-01,33,1,0,14,4
2018-04-01,30,1,0,13,3
2018-05-01,26,1,0,13,4
2018-06-01,21,1,0,16,0
2018-07-01,27,1,1,17,2
2018-08-01,35,1,0,18,2
2018-09-01,40,1,0,19,0
2018-10-01,34,1,0,21,2
2018-11-01,31,0,0,18,2
2018-12-01,30,1,0,18,2
2019-01-01,31,1,0,19,2
2019-02-01,27,1,0,21,0
2019-03-01,20,1,0,16,2
2019-04-01,21,1,0,20,0
2019-05-01,31,1,0,28,3
2019-06-01,24,1,0,30,2
2019-07-01,33,1,1,47,3
2019-08-01,73,1,1,88,4
2019-09-01,75,1,1,75,0
2019-10-01,79,1,1,62,3
2019-11-01,100,1,1,51,2
2019-12-01,86,1,0,61,3
2020-01-01,95,1,1,60,3
2020-02-01,77,1,1,57,4
2020-03-01,58,1,0,55,2
2020-04-01,24,2,1,74,0
2020-05-01,35,2,2,84,3
2020-06-01,60,2,1,83,4
2020-07-01,59,2,2,100,4
2020-08-01,55,1,1,89,4
2020-09-01,53,1,1,71,4
2020-10-01,63,1,1,68,2
2020-11-01,65,1,1,75,3
2020-12-01,69,2,1,68,3
2021-01-01,58,1,1,60,2
2021-02-01,57,1,1,67,2
2021-03-01,49,1,1,60,2
2021-04-01,41,1,0,64,0
2021-05-01,23,2,1,66,0
2021-06-01,25,2,1,61,4
2021-07-01,36,1,1,53,3
2021-08-01,41,1,1,54,7
2021-09-01,43,1,1,53,0
2021-10-01,38,1,0,53,0
2021-11-01,47,1,0,49,2
2021-12-01,46,0,0,53,0
2022-01-01,48,1,1,56,2
2022-02-01,49,1,1,55,2
2022-03-01,38,1,0,55,2
2022-04-01,34,1,0,55,4
2022-05-01,30,1,0,49,3
2022-06-01,31,1,0,46,3
2022-07-01,35,1,0,51,2
2022-08-01,43,1,0,56,3
2022-09-01,45,1,0,52,2
2022-10-01,42,1,1,49,3
2022-11-01,47,1,1,52,2
2022-12-01,43,1,0,47,0
2023-01-01,53,1,1,50,3
2023-02-01,63,1,0,55,2
2023-03-01,48,1,0,55,2
2023-04-01,36,1,0,50,2
2023-05-01,33,1,0,44,2
2023-06-01,34,1,0,50,2
2023-07-01,49,1,1,58,1
2023-08-01,83,0,1,63,2
2023-09-01,76,1,1,63,0
2023-10-01,73,1,0,61,2
2023-11-01,79,1,1,63,2
2023-12-01,75,1,0,63,2
2024-01-01,68,1,1,61,3
2024-02-01,48,1,1,47,2
2024-03-01,43,1,1,47,3
2024-04-01,54,1,0,43,0
2024-05-01,49,0,1,42,3
2024-06-01,41,1,1,45,2
2024-07-01,34,1,1,49,3
2024-08-01,31,1,1,55,3
2024-09-01,36,1,1,59,0
2024-10-01,40,0,0,57,2
2024-11-01,56,0,0,61,3
2024-12-01,41,1,0,64,2
2025-01-01,42,1,1,62,2
2025-02-01,34,0,0,60,3
2025-03-01,32,1,1,62,3
2025-04-01,30,1,1,49,3
2025-05-01,27,0,0,57,2
2025-06-01,23,1,1,52,3
2025-07-01,24,1,1,55,2
2025-08-01,32,1,0,64,3
2025-09-01,30,1,1,65,3
2025-10-01,36,0,1,66,3
2025-11-01,34,1,1,58,5
2025-12-01,29,1,1,63,3
