period,value_usd,qty_kg,netWgt_kg
201401,23457270.0,0.0,4997339.0
201402,21741896.0,0.0,4507796.0
201403,29014521.0,0.0,4898162.0
201404,19107622.0,0.0,2982430.0
201405,22272340.0,0.0,3449393.0
201406,14922913.0,0.0,2305176.0
201407,11386197.0,0.0,1571947.0
201408,5683098.0,0.0,973992.0
201409,3543184.0,0.0,669417.0
201410,20293311.0,0.0,2698729.0
201411,29570416.0,0.0,4397397.0
201412,39575273.0,0.0,5600765.0
201501,32804020.0,0.0,4078931.0
201502,23208516.0,0.0,2961946.0
201503,28650404.0,0.0,3575643.0
201504,17097279.0,0.0,2020913.0
201505,19296832.0,0.0,2615128.0
201506,21124726.0,0.0,2850374.0
201507,13832860.0,0.0,2123828.0
201508,12083759.0,0.0,1708636.0
201509,11687217.0,0.0,1532710.0
201510,5042208.0,0.0,918747.0
201511,24641017.0,0.0,4006081.0
201512,34024720.0,0.0,5133126.0
201601,19476694.0,2880981.0,2880981.0
201602,17021985.0,0.0,2628075.0
201603,24462854.0,0.0,4103907.0
201604,24716373.0,4792471.0,4792471.0
201605,53885412.0,10131976.0,10131976.0
201606,21058096.0,0.0,3967795.0
201607,10946036.0,0.0,1990264.0
201608,12248324.0,0.0,2085431.0
201609,6128641.0,0.0,1098642.0
201610,2162690.0,0.0,392825.0
201611,21365356.0,0.0,2443200.0
201612,43610913.0,0.0,4498685.0
201701,44778188.0,4865965.0,4865965.0
201702,42049281.0,0.0,4118684.0
201703,42884243.0,3973403.0,3973403.0
201704,21886643.0,0.0,2003072.0
201706,19933534.0,0.0,1864608.0
201707,14413777.0,1467212.0,1467212.0
201708,19985883.0,1890152.0,1890152.0
201709,7625907.0,773941.0,773941.0
201710,29914853.0,2698247.0,2698247.0
201711,48292504.0,4795159.0,4795159.0
201801,48541547.0,4752844.0,4752844.0
201905,59039775.0,3424995.0,3424995.0
201906,29244538.0,1611178.0,1611178.0
201907,19513269.0,1081932.0,1081932.0
201908,23671296.0,1364013.0,1364013.0
201909,7238970.0,472349.0,472349.0
201910,27024754.0,1620826.0,1620826.0
201911,101644912.0,4922869.0,4922869.0
201912,134795595.0,6099826.0,6099826.0
202001,119235928.0,4304466.0,4304466.0
202002,111642351.0,3794612.0,3794612.0
202003,73654313.0,2821502.0,2821502.0
202004,36803956.0,1642710.0,1642710.0
202005,52954549.0,2578834.0,2578834.0
202006,50216356.0,3910230.0,3910230.0
202007,108530790.0,10508656.0,10508656.0
202008,43976391.0,3811971.0,3811971.0
202009,16871694.0,1165988.0,1165988.0
202010,42798781.0,2605617.0,2605617.0
202011,137054814.0,8526382.0,8526382.0
202012,342733768.0,19599540.264,19599540.264
202101,180168894.0,9916071.0,9916071.0
202102,115065942.0,4155843.0,4155843.0
202103,88684174.0,4042312.0,4042312.0
202104,41737673.0,2298135.0,2298135.0
202105,27536029.0,1544735.155,1544735.155
202106,19186932.0,1272799.0,1272799.0
202107,11325502.0,658355.0,658355.0
202108,13768798.0,786592.0,786592.0
202109,14914985.0,975295.0,975295.0
202110,25439954.0,1771138.0,1771138.0
202111,54754004.0,4392190.0,4392190.0
202112,66556792.0,5776756.0,5776756.0
202201,50724373.0,4964863.466,4964863.466
202202,44123988.0,4787535.15,4787535.15
202203,59237419.0,6895718.0,6895718.0
202204,52500041.0,5837885.0,5837885.0
202205,45115009.0,5257887.0,5257887.0
202206,36223485.0,4279519.0,4279519.0
202207,20884740.0,3071301.0,3071301.0
202208,15547435.0,2300946.0,2300946.0
202209,7068377.0,987770.0,987770.0
202210,15897437.0,2361118.0,2361118.0
202211,34710038.0,6013038.0,6013038.0
202212,36499107.0,6454692.0,6454692.0
202301,42586553.0,7690935.0,7690935.0
202302,54603632.0,9122787.0,9122787.0
202303,52610556.0,9091319.0,9091319.0
202304,27899915.0,4253672.0,4253672.0
202305,26950909.0,4207723.0,4207723.0
202306,20252150.0,3082626.0,3082626.0
202307,14636286.0,2294948.0,2294948.0
202308,21010357.0,2871196.0,2871196.0
202309,19783936.0,2574285.0,2574285.0
202310,6486800.0,900870.0,900870.0
202311,19413203.0,1556306.0,1556306.0
202312,62602954.0,5053401.0,5053401.0
202401,97012397.0,6436809.0,6436809.0
202402,66413896.0,4108772.0,4108772.0
202403,36377487.0,2324907.0,2324907.0
202404,43831400.0,2888092.0,2888092.0
202405,53195550.0,3450963.0,3450963.0
202406,34510674.0,2160044.0,2160044.0
202407,30165994.0,1484297.0,1484297.0
202408,6667503.0,311608.0,311608.0
202409,9804642.0,452648.0,452648.0
202410,16390031.0,732416.0,732416.0
202411,44947383.0,1794505.0,1794505.0
202412,60470874.0,2374465.0,2374465.0
202501,39512149.0,1582511.0,1582511.0
202502,43858964.0,1533759.0,1533759.0
202503,52282911.0,1923491.0,1923491.0
202504,29480663.0,1056385.0,1056385.0
202505,30973492.0,1086270.0,1086270.0
202506,17238045.0,625986.0,625986.0
202507,22939114.0,856235.0,856235.0
202508,18052687.0,697998.0,697998.0
202509,21492260.0,822670.0,822670.0
