period,value_usd,qty_kg,netWgt_kg
201501,15922759.103,1609264.0,1609264.0
201502,14334174.984,1352919.0,1352919.0
201503,13492513.399,1058623.0,1058623.0
201504,11934903.452,929640.0,929640.0
201505,10394445.793,796896.0,796896.0
201506,7056442.077,531637.0,531637.0
201507,6453281.066,594305.0,594305.0
201508,9519854.829,904501.0,904501.0
201509,12398231.764,1152745.0,1152745.0
201510,11982819.291,1151815.0,1151815.0
201511,4211404.083,396853.0,396853.0
201512,8688044.097,887097.0,887097.0
201601,17350155.021,1925000.0,1925000.0
201602,13197349.83,1358000.0,1358000.0
201603,13479483.516,1461000.0,1461000.0
201604,14065617.582,1640000.0,1640000.0
201605,10491479.781,1382000.0,1382000.0
201606,8657877.489,1054000.0,1054000.0
201607,7721342.985,926000.0,926000.0
201608,4660272.492,534000.0,534000.0
201609,3067203.834,350000.0,350000.0
201610,7527742.743,654000.0,654000.0
201611,6988275.402,620000.0,620000.0
201612,5634673.71,510000.0,510000.0
201701,16372287.132,1189000.0,1189000.0
201702,14766151.791,1005150.017,1005150.017
201703,19252290.732,1270000.0,1270000.0
201704,23844563.139,1579000.0,1579000.0
201705,16930129.101,1123000.0,1123000.0
201706,5957865.177,374000.0,374000.0
201707,9087197.728,632000.0,632000.0
201708,18132795.467,1300000.0,1300000.0
201709,10362130.743,748000.0,748000.0
201801,16992582.391,1139761.893,1139761.893
201802,15397331.791,1018811.726,1018811.726
201803,18947782.902,1290371.36,1290371.36
201804,13751770.252,914425.968,914425.968
201805,9405435.576,626619.523,626619.523
201806,5113273.172,308263.318,308263.318
201807,6402429.867,414110.312,414110.312
201808,7422286.261,481481.614,481481.614
201809,5641886.839,354898.222,354898.222
201810,3323931.349,226165.788,226165.788
201811,6719841.64,452033.99,452033.99
201812,31445412.997,2075760.865,2075760.865
201901,24604340.985,1291137.655,1291137.655
201902,8060861.132,425575.513,425575.513
201903,32556595.453,1705471.276,1705471.276
201904,23639977.809,1244756.338,1244756.338
201905,26934092.127,1409798.064,1409798.064
201906,16241553.461,856499.488,856499.488
201907,9619244.026,507716.313,507716.313
201908,5241473.736,276480.508,276480.508
201909,6080547.315,319989.127,319989.127
201910,2596254.068,135627.986,135627.986
201911,7813524.871,410401.443,410401.443
201912,24853338.312,1314390.292,1314390.292
202001,44388340.224,1775676.0,1775676.0
202002,22895450.894,788473.0,788473.0
202003,52542608.553,1555173.0,1555173.0
202004,47713082.274,1425318.0,1425318.0
202005,40083147.265,1266199.0,1266199.0
202006,26780905.73,923282.0,923282.0
202007,16478696.388,663580.0,663580.0
202008,11556233.578,467553.0,467553.0
202009,12653069.55,467958.0,467958.0
202010,8788006.98,371977.0,371977.0
202011,8522515.787,353068.0,353068.0
202012,26648408.134,1244554.0,1244554.0
202101,34212095.411,1617060.0,1617060.0
202102,18447713.672,822373.0,822373.0
202103,31204882.153,1349992.0,1349992.0
202104,38536038.237,1628439.0,1628439.0
202105,24440607.389,1068005.0,1068005.0
202106,15117027.622,652847.0,652847.0
202107,12707701.549,545267.0,545267.0
202108,3536932.712,164432.0,164432.0
202109,5513270.262,272124.0,272124.0
202110,8195699.528,388622.0,388622.0
202111,11927010.635,677516.0,677516.0
202112,19430377.914,1059492.0,1059492.0
202201,21383724.799,1329273.0,1329273.0
202202,15089659.089,921681.0,921681.0
202203,14909348.694,1033441.0,1033441.0
202204,30519052.037,2157382.0,2157382.0
202205,15623340.943,1233886.0,1233886.0
202206,17711029.157,1491985.0,1491985.0
202207,10067934.148,946584.0,946584.0
202208,8789382.18,894627.0,894627.0
202209,5417926.531,440433.0,440433.0
202210,6941226.493,607649.0,607649.0
202211,6711275.832,650437.0,650437.0
202212,7952244.868,822399.0,822399.0
202301,13843431.387,1503123.0,1503123.0
202302,16684854.516,1799677.0,1799677.0
202303,17911907.552,1984785.0,1984785.0
202304,27952297.435,2717836.0,2717836.0
202305,12955959.143,1466660.0,1466660.0
202306,7453937.414,636687.0,636687.0
202307,7810268.338,720455.0,720455.0
202308,6531510.237,563192.0,563192.0
202309,4432858.823,360447.0,360447.0
202310,10384327.207,714695.0,714695.0
202311,7439477.414,441067.0,441067.0
202312,6336415.575,363776.0,363776.0
202401,22732934.898,1223877.0,1223877.0
202402,47501045.746,2371273.0,2371273.0
202403,40367740.591,1950662.0,1950662.0
202404,23895305.803,1124964.0,1124964.0
202405,20777862.147,952382.0,952382.0
202406,16419238.523,764079.397,764079.397
202407,18448293.139,749494.0,749494.0
202408,8719465.115,316800.761,316800.761
202409,9614331.76,322940.527,322940.527
202410,4565414.819,174829.182,174829.182
202411,14680949.766,533588.0,533588.0
202412,23026281.824,783225.0,783225.0
202501,31596170.943,1101827.21,1101827.21
202502,49467290.763,1578498.0,1578498.0
202503,21688845.058,715896.0,715896.0
202504,18395868.873,577544.0,577544.0
202505,17858482.22,584943.0,584943.0
202506,16539183.32,521193.0,521193.0
202507,18173923.546,548681.0,548681.0
