period,value_usd,qty_kg,netWgt_kg
201701,7125512.221,751660.14,751660.14
201702,6044687.445,607014.65,607014.65
201703,8065838.284,849675.66,849675.66
201704,11237926.815,1111679.27,1111679.27
201705,16054121.404,1419180.4,1419180.4
201706,9963526.658,960340.88,960340.88
201707,5291117.065,541005.65,541005.65
201708,5210966.006,673861.05,673861.05
201709,3790649.727,476114.12,476114.12
201710,11359989.661,1221103.12,1221103.12
201711,4208735.683,396499.22,396499.22
201712,9487414.399,899993.78,899993.78
201801,11566097.725,1189633.1,1189633.1
201802,9996611.286,916957.3,916957.3
201803,8943032.471,809762.78,809762.78
201804,11976790.607,1073699.9,1073699.9
201805,11581919.85,1017789.49,1017789.49
201806,5911731.952,562104.8,562104.8
201807,6733467.075,623836.39,623836.39
201808,5539469.465,521192.9,521192.9
201809,2399904.375,247932.98,247932.98
201810,3819558.038,320130.7,320130.7
201811,4575104.518,362391.74,362391.74
201812,8116849.566,727656.5,727656.5
201901,11188550.924,931208.75,931208.75
201902,12012965.132,970605.04,970605.04
201903,9508784.986,751253.42,751253.42
201904,16231363.571,1101823.31,1101823.31
201905,9140736.512,633944.0,633944.0
201906,9685654.267,704651.68,704651.68
201907,13541923.837,967132.75,967132.75
201908,8976542.018,634305.82,634305.82
201909,13206133.124,1007312.56,1007312.56
201910,7935634.537,541313.53,541313.53
201911,10651735.7,624544.88,624544.88
201912,17386006.802,896255.94,896255.94
